Point in Time[s],Energy Consumption[kWh]
9.999999999999998,1.9810833333333322E-4
19.999999999999996,5.282888888888885E-4
29.999999999999993,5.943249999999995E-4
39.99999999999999,9.245055555555547E-4
49.99999999999999,9.245055555555546E-4
59.99999999999999,9.905416666666656E-4
69.99999999999999,9.245055555555546E-4
79.99999999999999,9.905416666666656E-4
89.99999999999999,9.245055555555546E-4
99.99999999999999,9.905416666666656E-4
109.99999999999999,9.245055555555545E-4
119.99999999999999,9.905416666666656E-4
129.99999999999997,9.245055555555544E-4
139.99999999999997,9.905416666666656E-4
149.99999999999997,9.245055555555544E-4
159.99999999999997,9.905416666666656E-4
169.99999999999997,9.245055555555544E-4
179.99999999999997,9.905416666666654E-4
189.99999999999997,9.245055555555543E-4
199.99999999999997,9.905416666666654E-4
209.99999999999997,9.245055555555542E-4
219.99999999999997,9.905416666666652E-4
229.99999999999997,9.245055555555542E-4
239.99999999999997,9.905416666666652E-4
249.99999999999997,9.245055555555542E-4
259.99999999999994,9.905416666666652E-4
269.99999999999994,9.245055555555541E-4
279.99999999999994,9.905416666666652E-4
289.99999999999994,9.24505555555554E-4
299.99999999999994,9.905416666666652E-4
309.99999999999994,9.24505555555554E-4
319.99999999999994,9.90541666666665E-4
329.99999999999994,9.24505555555554E-4
339.99999999999994,9.90541666666665E-4
349.99999999999994,9.245055555555539E-4
359.99999999999994,9.905416666666647E-4
369.99999999999994,9.245055555555538E-4
379.99999999999994,9.905416666666647E-4
389.99999999999994,9.245055555555538E-4
399.99999999999994,9.905416666666647E-4
409.99999999999994,9.245055555555538E-4
419.99999999999994,9.905416666666647E-4
429.99999999999994,9.245055555555537E-4
439.99999999999994,9.905416666666647E-4
449.99999999999994,9.245055555555535E-4
459.99999999999994,9.905416666666647E-4
469.99999999999994,9.245055555555535E-4
479.99999999999994,9.905416666666645E-4
489.99999999999994,9.245055555555535E-4
499.99999999999994,9.905416666666645E-4
509.99999999999994,9.245055555555534E-4
519.9999999999999,9.905416666666643E-4
529.9999999999999,9.245055555555533E-4
539.9999999999999,9.905416666666643E-4
549.9999999999999,9.245055555555533E-4
559.9999999999999,9.905416666666643E-4
569.9999999999999,9.245055555555533E-4
579.9999999999999,9.905416666666643E-4
589.9999999999999,9.245055555555532E-4
599.9999999999999,9.905416666666643E-4
609.9999999999999,9.245055555555531E-4
619.9999999999999,9.905416666666643E-4
629.9999999999999,9.245055555555531E-4
639.9999999999999,9.90541666666664E-4
649.9999999999999,9.245055555555531E-4
659.9999999999999,9.90541666666664E-4
669.9999999999999,9.24505555555553E-4
679.9999999999999,9.905416666666639E-4
689.9999999999999,9.245055555555529E-4
699.9999999999999,9.905416666666639E-4
709.9999999999999,9.245055555555529E-4
719.9999999999999,9.905416666666639E-4
729.9999999999999,9.245055555555529E-4
739.9999999999999,9.905416666666639E-4
749.9999999999999,9.245055555555528E-4
759.9999999999999,9.905416666666639E-4
769.9999999999999,9.245055555555527E-4
779.9999999999999,9.905416666666639E-4
789.9999999999999,9.245055555555527E-4
799.9999999999999,9.905416666666637E-4
809.9999999999999,9.245055555555527E-4
819.9999999999999,9.905416666666637E-4
829.9999999999999,9.245055555555526E-4
839.9999999999999,9.905416666666634E-4
849.9999999999999,9.245055555555525E-4
859.9999999999999,9.905416666666634E-4
869.9999999999999,9.245055555555525E-4
879.9999999999999,9.905416666666634E-4
889.9999999999999,9.245055555555524E-4
899.9999999999999,9.905416666666634E-4
909.9999999999999,9.245055555555522E-4
919.9999999999999,9.905416666666634E-4
929.9999999999999,9.245055555555522E-4
939.9999999999999,9.905416666666634E-4
949.9999999999999,9.245055555555522E-4
959.9999999999999,9.905416666666632E-4
969.9999999999999,9.245055555555521E-4
