Point in Time[s],Optimisation Time[s]
3650.0,0.006
3660.0,0.009
3670.0,0.062
3680.0,0.03
3690.0,0.016
3700.0,0.024
3710.0,0.025
3720.0,0.02
3730.0,0.015
3740.0,0.022
3750.0,0.029
3760.0,0.026
3770.0,0.026
3780.0,0.017
3790.0,0.01
3800.0,0.017
3810.0,0.025
3820.0,0.028
3830.0,0.022
3840.0,0.025
3850.0,0.016
3860.0,0.023
3870.0,0.014
3880.0,0.019
3890.0,0.026
3900.0,0.014
3910.0,0.022
3920.0,0.022
3930.0,0.014
3940.0,0.02
3950.0,0.02
3960.0,0.02
3970.0,0.016
3980.0,0.011
3990.0,0.024
4000.0,0.023
4010.0,0.021
4020.0,0.012
4030.0,0.014
4040.0,0.023
4050.0,0.022
4060.0,0.018
4070.0,0.026
4080.0,0.021
4090.0,0.019
4100.0,0.019
4110.0,0.011
4120.0,0.021
4130.0,0.021
4140.0,0.018
4150.0,0.018
4160.0,0.019
4170.0,0.015
4180.0,0.018
4190.0,0.019
4200.0,0.015
4210.0,0.019
4220.0,0.019
4230.0,0.019
4240.0,0.021
4250.0,0.02
4260.0,0.017
4270.0,0.021
4280.0,0.016
4290.0,0.022
4300.0,0.021
4310.0,0.021
4320.0,0.015
4330.0,0.023
4340.0,0.019
4350.0,0.019
4360.0,0.019
4370.0,0.013
4380.0,0.019
4390.0,0.024
4400.0,0.021
4410.0,0.019
4420.0,0.018
4430.0,0.019
4440.0,0.014
4450.0,0.01
4460.0,0.014
4470.0,0.011
4480.0,0.015
4490.0,0.013
4500.0,0.007
4510.0,0.01
4520.0,0.018
4530.0,0.009
4540.0,0.016
4550.0,0.023
4560.0,0.016
4570.0,0.023
4580.0,0.012
4590.0,0.019
4600.0,0.014
4610.0,0.036
4620.0,0.034
4630.0,0.022
4640.0,0.016
4650.0,0.009
4660.0,0.016
4670.0,0.02
4680.0,0.009
4690.0,0.017
4700.0,0.025
4710.0,0.019
4720.0,0.016
4730.0,0.008
4740.0,0.016
4750.0,0.02
4760.0,0.012
4770.0,0.021
4780.0,0.017
4790.0,0.017
4800.0,0.018
4810.0,0.023
4820.0,0.016
4830.0,0.011
4840.0,0.018
4850.0,0.017
4860.0,0.02
4870.0,0.016
4880.0,0.02
4890.0,0.017
4900.0,0.02
4910.0,0.018
4920.0,0.012
4930.0,0.025
4940.0,0.021
4950.0,0.013
4960.0,0.024
4970.0,0.018
4980.0,0.018
4990.0,0.019
5000.0,0.019
5010.0,0.019
5020.0,0.012
5030.0,0.019
5040.0,0.02
5050.0,0.013
5060.0,0.02
5070.0,0.017
5080.0,0.023
5090.0,0.017
5100.0,0.02
5110.0,0.018
5120.0,0.01
5130.0,0.019
5140.0,0.013
5150.0,0.021
5160.0,0.015
5170.0,0.014
5180.0,0.019
5190.0,0.022
5200.0,0.008
5210.0,0.02
5220.0,0.019
5230.0,0.009
5240.0,0.02
5250.0,0.02
5260.0,0.016
5270.0,0.017
5280.0,0.021
5290.0,0.019
5300.0,0.023
5310.0,0.017
5320.0,0.019
5330.0,0.009
5340.0,0.018
5350.0,0.016
5360.0,0.015
5370.0,0.016
5380.0,0.008
5390.0,0.015
5400.0,0.016
5410.0,0.01
5420.0,0.012
5430.0,0.019
5440.0,0.008
5450.0,0.02
5460.0,0.019
5470.0,0.017
5480.0,0.014
5490.0,0.019
5500.0,0.011
5510.0,0.012
5520.0,0.009
5530.0,0.02
5540.0,0.018
5550.0,0.013
5560.0,0.018
5570.0,0.016
5580.0,0.015
5590.0,0.017
5600.0,0.011
5610.0,0.017
5620.0,0.014
5630.0,0.016
5640.0,0.011
5650.0,0.009
5660.0,0.015
5670.0,0.02
5680.0,0.009
5690.0,0.019
5700.0,0.009
5710.0,0.023
5720.0,0.016
5730.0,0.015
5740.0,0.011
5750.0,0.016
5760.0,0.009
5770.0,0.017
5780.0,0.013
5790.0,0.026
5800.0,0.017
5810.0,0.017
5820.0,0.01
5830.0,0.019
5840.0,0.019
5850.0,0.01
5860.0,0.019
5870.0,0.017
5880.0,0.013
5890.0,0.017
