Point in Time[s],State of Active Resource[]
37423.549939393,1
37423.549939393,0
37424.549939393,1
37424.549939393,0
37425.549939393,1
37425.549939393,0
37426.548727272,1
37426.548727272,0
37427.548727272,1
37427.548727272,0
37428.548727272,1
37428.548727272,0
37429.548727272,1
37429.548727272,0
37430.548727272,1
37430.548727272,0
37431.547818181,1
37431.547818181,0
37432.547818181,1
37432.547818181,0
37433.547818181,1
37433.547818181,0
37434.547818181,1
37434.547818181,0
37435.54690909,1
37435.54690909,0
37436.54690909,1
37436.54690909,0
37437.54690909,1
37437.54690909,0
37438.54690909,1
37438.54690909,0
37439.54690909,1
37439.54690909,0
37440.546,1
37440.546,0
37441.546,1
37441.546,0
37442.546,1
37442.546,0
37443.546,1
37443.546,0
37444.547212121,1
37444.547212121,0
37445.547212121,1
37445.547212121,0
37446.547212121,1
37446.547212121,0
37447.547212121,1
37447.547212121,0
37448.547212121,1
37448.547212121,0
37449.548121212,1
37449.548121212,0
37450.548121212,1
37450.548121212,0
37451.548121212,1
37451.548121212,0
37452.548121212,1
37452.548121212,0
37453.549030303,1
37453.549030303,0
37454.549030303,1
37454.549030303,0
37455.549030303,1
37455.549030303,0
37456.549030303,1
37456.549030303,0
37457.549030303,1
37457.549030303,0
37458.550242424,1
37458.550242424,0
37459.550242424,1
37459.550242424,0
37460.550242424,1
37460.550242424,0
37461.550242424,1
37461.550242424,0
37462.551151515,1
37462.551151515,0
37463.551151515,1
37463.551151515,0
37464.551151515,1
37464.551151515,0
37465.551151515,1
37465.551151515,0
37466.551151515,1
37466.551151515,0
37467.552060606,1
37467.552060606,0
37468.552060606,1
37468.552060606,0
37469.552060606,1
37469.552060606,0
37470.552060606,1
37470.552060606,0
37471.552969696,1
37471.552969696,0
37472.552969696,1
37472.552969696,0
37473.552969696,1
37473.552969696,0
37474.552969696,1
37474.552969696,0
37475.552969696,1
37475.552969696,0
37476.554181818,1
37476.554181818,0
37477.554181818,1
37477.554181818,0
37478.554181818,1
37478.554181818,0
37479.554181818,1
37479.554181818,0
37480.555090909,1
37480.555090909,0
37481.555090909,1
37481.555090909,0
37482.555090909,1
37482.555090909,0
37483.555090909,1
37483.555090909,0
37484.555090909,1
37484.555090909,0
37485.556,1
37485.556,0
