Point in Time[s],State of Active Resource[]
0.0,0
39896.642181818,1
39896.678861599,0
39897.642181818,1
39897.678861599,0
39898.642181818,1
39898.678861599,0
39899.644,1
39899.681346686,0
39900.644,1
39900.681346686,0
39901.644,1
39901.681346686,0
39902.644,1
39902.681346686,0
39903.644,1
39903.681346686,0
39904.644,1
39904.681346686,0
39905.644,1
39905.681346686,0
39906.644,1
39906.681346686,0
39907.644,1
39907.681346686,0
39908.644,1
39908.681346686,0
39909.644,1
39909.680679781,0
39910.644,1
39910.680679781,0
39911.644,1
39911.680679781,0
39912.644,1
39912.680679781,0
39913.644,1
39913.680679781,0
39914.644,1
39914.680679781,0
39915.644,1
39915.680679781,0
39916.644,1
39916.680679781,0
39917.644,1
39917.680679781,0
39918.644,1
39918.680679781,0
39919.644,1
39919.680679781,0
39920.644,1
39920.680679781,0
39921.644,1
39921.680679781,0
39922.644,1
39922.680679781,0
39923.644,1
39923.680679781,0
39924.644,1
39924.680679781,0
39925.644,1
39925.680679781,0
39926.644,1
39926.680679781,0
39927.644,1
39927.680679781,0
39928.644,1
39928.680679781,0
39929.644,1
39929.680679781,0
39930.644,1
39930.680679781,0
39931.644,1
39931.680679781,0
39932.644,1
39932.680679781,0
39933.644,1
39933.680012876,0
39934.644,1
39934.680012876,0
39935.644,1
39935.680012876,0
39936.644,1
39936.680012876,0
39937.644,1
39937.680012876,0
39938.644,1
39938.680012876,0
39939.644,1
39939.680012876,0
39940.644,1
39940.680012876,0
39941.644,1
39941.680012876,0
39942.644,1
39942.680012876,0
39943.644,1
39943.680012876,0
39944.644,1
39944.680012876,0
39945.644,1
39945.680012876,0
39946.644,1
39946.680012876,0
39947.644,1
39947.680012876,0
39948.644,1
39948.680012876,0
39949.644,1
39949.680012876,0
39950.644,1
39950.680012876,0
39951.643393939,1
39951.67873991,0
39952.643393939,1
39952.67873991,0
39953.643393939,1
39953.67873991,0
39954.641272727,1
39954.675951793,0
39955.641272727,1
39955.675951793,0
39956.639151515,1
39956.673163675,0
39957.639151515,1
39957.673163675,0
39958.639151515,1
39958.673163675,0
39959.637333333,1
39959.670678588,0
39960.637333333,1
39960.670678588,0
39961.635212121,1
39961.667890471,0
39962.635212121,1
39962.667890471,0
39963.635212121,1
39963.667890471,0
39964.633393939,1
39964.665405384,0
39965.633393939,1
39965.665405384,0
39966.633393939,1
39966.665405384,0
39967.631272727,1
39967.662617267,0
39968.631272727,1
39968.662617267,0
39969.629454545,1
39969.66013218,0
39970.629454545,1
39970.66013218,0
39971.629454545,1
39971.66013218,0
39972.627333333,1
39972.657344063,0
39973.627333333,1
39973.657344063,0
39974.625212121,1
39974.654555946,0
39975.625212121,1
39975.654555946,0
39976.625212121,1
39976.654555946,0
39977.623393939,1
39977.652070859,0
39978.623393939,1
39978.652070859,0
39979.623393939,1
39979.652070859,0
39980.621272727,1
39980.649282741,0
39981.621272727,1
39981.649282741,0
39982.619454545,1
39982.646797654,0
39983.619454545,1
39983.646797654,0
39984.619454545,1
39984.646797654,0
39985.617333333,1
39985.644676442,0
39986.617333333,1
39986.644676442,0
39987.615212121,1
39987.641888325,0
39988.615212121,1
39988.641888325,0
39989.615212121,1
39989.641888325,0
39990.613393939,1
39990.639403238,0
39991.613393939,1
39991.639403238,0
39992.613393939,1
39992.639403238,0
39993.611272727,1
39993.636615121,0
39994.611272727,1
39994.636615121,0
39995.609454545,1
39995.634130034,0
39996.609454545,1
39996.634130034,0
39997.609454545,1
39997.634130034,0
39998.607333333,1
39998.631341917,0
39999.607333333,1
39999.631341917,0
40000.605515151,1
40000.62885683,0
40001.605515151,1
40001.62885683,0
40002.605515151,1
40002.62885683,0
40003.60430303,1
40003.626977803,0
40004.60430303,1
40004.626977803,0
40005.60430303,1
40005.626977803,0
40006.605212121,1
40006.627219989,0
40007.605212121,1
40007.627219989,0
40008.606424242,1
40008.62843211,0
40009.606424242,1
40009.62843211,0
40010.606424242,1
40010.62843211,0
40011.607333333,1
40011.629341201,0
40012.607333333,1
40012.629341201,0
40013.608242424,1
40013.629583387,0
40014.608242424,1
40014.629583387,0
40015.608242424,1
40015.629583387,0
40016.609151515,1
40016.630492478,0
40017.609151515,1
40017.630492478,0
40018.609151515,1
40018.630492478,0
40019.610363636,1
40019.631037694,0
40020.610363636,1
40020.631037694,0
40021.611272727,1
40021.631946785,0
40022.611272727,1
40022.631946785,0
40023.611272727,1
40023.631946785,0
40024.612181818,1
40024.632855876,0
40025.612181818,1
40025.632855876,0
40026.613393939,1
40026.633401092,0
40027.613393939,1
40027.633401092,0
40028.613393939,1
40028.633401092,0
40029.61430303,1
40029.634310183,0
40030.61430303,1
40030.634310183,0
40031.615212121,1
40031.635219274,0
40032.615212121,1
40032.635219274,0
40033.615212121,1
40033.635219274,0
40034.616121212,1
40034.63546146,0
40035.616121212,1
40035.63546146,0
40036.616121212,1
40036.63546146,0
40037.617333333,1
40037.636673581,0
40038.617333333,1
40038.636673581,0
40039.618242424,1
40039.636915767,0
40040.618242424,1
40040.636915767,0
40041.618242424,1
40041.636915767,0
40042.619151515,1
40042.637824858,0
40043.619151515,1
40043.637824858,0
40044.620363636,1
40044.639036979,0
40045.620363636,1
40045.639036979,0
40046.620363636,1
40046.639036979,0
40047.621272727,1
40047.639279165,0
40048.621272727,1
40048.639279165,0
40049.621272727,1
40049.639279165,0
40050.622181818,1
40050.640188256,0
40051.622181818,1
40051.640188256,0
40052.623090909,1
40052.640430442,0
40053.623090909,1
40053.640430442,0
40054.623090909,1
40054.640430442,0
40055.623696969,1
40055.641036502,0
40056.623696969,1
40056.641036502,0
40057.621878787,1
40057.638551414,0
40058.621878787,1
40058.638551414,0
40059.621878787,1
40059.638551414,0
40060.620060606,1
40060.636066328,0
40061.620060606,1
40061.636066328,0
40062.620060606,1
40062.636066328,0
40063.618242424,1
40063.632914336,0
40064.618242424,1
40064.632914336,0
40065.616424242,1
40065.630429249,0
40066.616424242,1
40066.630429249,0
40067.616424242,1
40067.630429249,0
40068.61460606,1
40068.627944162,0
40069.61460606,1
40069.627944162,0
40070.612787878,1
40070.625459075,0
40071.612787878,1
40071.625459075,0
40072.612787878,1
40072.625459075,0
40073.610969696,1
40073.622973988,0
40074.610969696,1
40074.622973988,0
40075.610969696,1
40075.622973988,0
40076.609151515,1
40076.620488901,0
40077.609151515,1
40077.620488901,0
40078.607333333,1
40078.618003814,0
40079.607333333,1
40079.618003814,0
40080.607333333,1
40080.618003814,0
40081.605515151,1
40081.615518727,0
40082.605515151,1
40082.615518727,0
40083.603696969,1
40083.612366735,0
40084.603696969,1
40084.612366735,0
40085.603696969,1
40085.612366735,0
40086.601878787,1
40086.609881648,0
40087.601878787,1
40087.609881648,0
40088.601878787,1
40088.609881648,0
40089.600060606,1
40089.607396562,0
40090.600060606,1
40090.607396562,0
40091.598242424,1
40091.604911475,0
40092.598242424,1
40092.604911475,0
40093.598242424,1
40093.604911475,0
40094.596424242,1
40094.602426388,0
40095.596424242,1
40095.602426388,0
40096.59460606,1
40096.5999413,0
40097.59460606,1
40097.5999413,0
40098.59460606,1
40098.5999413,0
40099.592787878,1
40099.597456213,0
40100.592787878,1
40100.597456213,0
40101.592787878,1
40101.597456213,0
40102.590969696,1
40102.594971126,0
40103.590969696,1
40103.594971126,0
40104.589151515,1
40104.591819135,0
40105.589151515,1
40105.591819135,0
40106.589151515,1
40106.591819135,0
40107.587333333,1
40107.589334048,0
40108.587333333,1
40108.589334048,0
40109.585515151,1
40109.586848961,0
40110.585515151,1
40110.586848961,0
40111.585515151,1
40111.586848961,0
40112.584,1
40112.584666905,0
40113.584,1
40113.584666905,0
40114.584,1
40114.584666905,0
40115.585212121,1
40115.587212836,0
40116.585212121,1
40116.587212836,0
40117.586121212,1
40117.590122642,0
40118.586121212,1
40118.590122642,0
40119.586121212,1
40119.590122642,0
40120.587030303,1
40120.592365543,0
40121.587030303,1
40121.592365543,0
40122.587939393,1
40122.594608444,0
40123.587939393,1
40123.594608444,0
40124.587939393,1
40124.594608444,0
40125.589151515,1
40125.597154376,0
40126.589151515,1
40126.597154376,0
40127.589151515,1
40127.597154376,0
40128.590060606,1
40128.599397277,0
40129.590060606,1
40129.599397277,0
40130.590969696,1
40130.601640177,0
40131.590969696,1
40131.601640177,0
40132.590969696,1
40132.601640177,0
40133.592181818,1
40133.60418611,0
40134.592181818,1
40134.60418611,0
40135.593090909,1
40135.606429011,0
40136.593090909,1
40136.606429011,0
40137.593090909,1
40137.606429011,0
40138.594,1
40138.608671912,0
40139.594,1
40139.608671912,0
40140.594,1
40140.608671912,0
40141.59490909,1
40141.610914812,0
40142.59490909,1
40142.610914812,0
40143.596121212,1
40143.61412765,0
40144.596121212,1
40144.61412765,0
40145.596121212,1
40145.61412765,0
40146.597030303,1
40146.616370551,0
40147.597030303,1
40147.616370551,0
40148.597939393,1
40148.618613451,0
40149.597939393,1
40149.618613451,0
40150.597939393,1
40150.618613451,0
40151.599151515,1
40151.621159383,0
40152.599151515,1
40152.621159383,0
40153.599151515,1
40153.621159383,0
40154.600060606,1
40154.623402285,0
40155.600060606,1
40155.623402285,0
40156.600969696,1
40156.625645185,0
40157.600969696,1
40157.625645185,0
40158.600969696,1
40158.625645185,0
40159.602181818,1
40159.628191117,0
40160.602181818,1
40160.628191117,0
40161.603090909,1
40161.630434018,0
40162.603090909,1
40162.630434018,0
40163.603090909,1
40163.630434018,0
40164.604,1
40164.63267692,0
40165.604,1
40165.63267692,0
40166.604,1
40166.633343825,0
40167.604,1
40167.633343825,0
40168.604,1
40168.633343825,0
40169.604,1
40169.633343825,0
40170.604,1
40170.633343825,0
40171.604,1
40171.633343825,0
40172.604,1
40172.63401073,0
40173.604,1
40173.63401073,0
40174.604,1
40174.63401073,0
40175.604,1
40175.63401073,0
40176.604,1
40176.63401073,0
40177.604,1
40177.634677635,0
40178.604,1
40178.634677635,0
40179.604,1
40179.634677635,0
40180.604,1
40180.634677635,0
40181.604,1
40181.634677635,0
40182.604,1
40182.63534454,0
40183.604,1
40183.63534454,0
40184.604,1
40184.63534454,0
40185.604,1
40185.63534454,0
40186.604,1
40186.63534454,0
40187.604,1
40187.636011445,0
40188.604,1
40188.636011445,0
40189.604,1
40189.636011445,0
40190.604,1
40190.636011445,0
40191.604,1
40191.636011445,0
40192.604,1
40192.63667835,0
40193.604,1
40193.63667835,0
40194.604,1
40194.63667835,0
40195.604,1
40195.63667835,0
40196.604,1
40196.63667835,0
40197.604,1
40197.63667835,0
40198.604,1
40198.637345255,0
40199.604,1
40199.637345255,0
40200.604,1
40200.637345255,0
40201.604,1
40201.637345255,0
40202.604,1
40202.637345255,0
40203.604,1
40203.63801216,0
40204.604,1
40204.63801216,0
40205.604,1
40205.63801216,0
40206.604,1
40206.63801216,0
40207.604,1
40207.63801216,0
40208.604,1
40208.638679066,0
40209.604,1
40209.638679066,0
40210.604,1
40210.638679066,0
40211.604,1
40211.638679066,0
40212.604,1
40212.638679066,0
40213.604,1
40213.639345971,0
40214.604,1
40214.639345971,0
40215.604,1
40215.639345971,0
40216.604,1
40216.639345971,0
40217.604,1
40217.639345971,0
40218.604,1
40218.640012876,0
40219.604,1
40219.640012876,0
40220.604,1
40220.640012876,0
40221.604,1
40221.640012876,0
40222.604,1
40222.640012876,0
40223.604,1
40223.640012876,0
40224.605515151,1
40224.642194932,0
40225.605515151,1
40225.642194932,0
40226.607636363,1
40226.644316144,0
40227.607636363,1
40227.644316144,0
40228.607636363,1
40228.644316144,0
40229.609454545,1
40229.646801231,0
40230.609454545,1
40230.646801231,0
40231.611575757,1
40231.648922443,0
40232.611575757,1
40232.648922443,0
40233.611575757,1
40233.648922443,0
40234.613393939,1
40234.65140753,0
40235.613393939,1
40235.65140753,0
40236.613393939,1
40236.65140753,0
40237.615515151,1
40237.653528742,0
40238.615515151,1
40238.653528742,0
40239.617636363,1
40239.656316859,0
40240.617636363,1
40240.656316859,0
40241.617636363,1
40241.656316859,0
40242.619454545,1
40242.658135041,0
40243.619454545,1
40243.658135041,0
40244.621575757,1
40244.660923158,0
40245.621575757,1
40245.660923158,0
40246.621575757,1
40246.660923158,0
40247.623393939,1
40247.66274134,0
40248.623393939,1
40248.66274134,0
40249.623393939,1
40249.66274134,0
40250.625515151,1
40250.665529457,0
40251.625515151,1
40251.665529457,0
40252.627333333,1
40252.667347639,0
40253.627333333,1
40253.667347639,0
40254.627333333,1
40254.667347639,0
40255.629454545,1
40255.670135757,0
40256.629454545,1
40256.670135757,0
40257.631575757,1
40257.672256969,0
40258.631575757,1
40258.672256969,0
40259.631575757,1
40259.672256969,0
40260.633393939,1
40260.674075151,0
40261.633393939,1
40261.674075151,0
40262.633393939,1
40262.674075151,0
40263.635515151,1
40263.676863268,0
40264.635515151,1
40264.676863268,0
40265.637333333,1
40265.67868145,0
40266.637333333,1
40266.67868145,0
40267.637333333,1
40267.67868145,0
40268.639454545,1
40268.681469567,0
40269.639454545,1
40269.681469567,0
40270.641272727,1
40270.683287749,0
40271.641272727,1
40271.683287749,0
40272.641272727,1
40272.683287749,0
40273.643393939,1
40273.686075866,0
40274.643393939,1
40274.686075866,0
40275.643393939,1
40275.686075866,0
40276.644,1
40276.686681927,0
40277.644,1
40277.686681927,0
40278.644,1
40278.686681927,0
40279.644,1
40279.686681927,0
40280.644,1
40280.686681927,0
40281.644,1
40281.686681927,0
40282.644,1
40282.686681927,0
40283.644,1
40283.687348832,0
40284.644,1
40284.687348832,0
40285.644,1
40285.687348832,0
40286.644,1
40286.687348832,0
40287.644,1
40287.687348832,0
40288.644,1
40288.687348832,0
40289.644,1
40289.687348832,0
40290.644,1
40290.687348832,0
40291.644,1
40291.687348832,0
40292.644,1
40292.687348832,0
40293.644,1
40293.687348832,0
40294.644,1
40294.687348832,0
40295.644,1
40295.687348832,0
40296.644,1
40296.687348832,0
40297.644,1
40297.687348832,0
40298.644,1
40298.687348832,0
40299.644,1
40299.687348832,0
40300.644,1
40300.687348832,0
40301.644,1
40301.688015737,0
40302.644,1
40302.688015737,0
40303.644,1
40303.688015737,0
40304.644,1
40304.688015737,0
40305.644,1
40305.688015737,0
40306.644,1
40306.688015737,0
40307.644,1
40307.688015737,0
40308.644,1
40308.688015737,0
40309.644,1
40309.688015737,0
40310.644,1
40310.688015737,0
40311.644,1
40311.688015737,0
40312.644,1
40312.688015737,0
40313.644,1
40313.688015737,0
40314.644,1
40314.688015737,0
40315.644,1
40315.688015737,0
40316.644,1
40316.688015737,0
40317.644,1
40317.688015737,0
40318.644,1
40318.688015737,0
40319.644,1
40319.688015737,0
40320.644,1
40320.688015737,0
40321.644,1
40321.688015737,0
40322.644,1
40322.688682642,0
40323.644,1
40323.688682642,0
40324.644,1
40324.688682642,0
40325.644,1
40325.688682642,0
40326.644,1
40326.688682642,0
