Point in Time[s],Optimisation Time[s]
3650.0,0.026
3660.0,0.016
3670.0,0.053
3680.0,0.047
3690.0,0.031
3700.0,0.042
3710.0,0.042
3720.0,0.032
3730.0,0.029
3740.0,0.033
3750.0,0.036
3760.0,0.064
3770.0,0.042
3780.0,0.031
3790.0,0.027
3800.0,0.03
3810.0,0.035
3820.0,0.039
3830.0,0.035
3840.0,0.036
3850.0,0.08
3860.0,0.03
3870.0,0.034
3880.0,0.034
3890.0,0.033
3900.0,0.034
3910.0,0.034
3920.0,0.037
3930.0,0.036
3940.0,0.039
3950.0,0.034
3960.0,0.034
3970.0,0.028
3980.0,0.038
3990.0,0.034
4000.0,0.028
4010.0,0.031
4020.0,0.032
4030.0,0.039
4040.0,0.03
4050.0,0.034
4060.0,0.03
4070.0,0.033
4080.0,0.03
4090.0,0.028
4100.0,0.022
4110.0,0.06
4120.0,0.035
4130.0,0.035
4140.0,0.028
4150.0,0.03
4160.0,0.024
4170.0,0.035
4180.0,0.031
4190.0,0.03
4200.0,0.031
4210.0,0.046
4220.0,0.032
4230.0,0.026
4240.0,0.037
4250.0,0.026
4260.0,0.034
4270.0,0.036
4280.0,0.028
4290.0,0.026
4300.0,0.034
4310.0,0.03
4320.0,0.031
4330.0,0.03
4340.0,0.032
4350.0,0.026
4360.0,0.032
4370.0,0.032
4380.0,0.025
4390.0,0.026
4400.0,0.029
4410.0,0.027
4420.0,0.029
4430.0,0.029
4440.0,0.03
4450.0,0.028
4460.0,0.035
4470.0,0.027
4480.0,0.029
4490.0,0.038
4500.0,0.025
4510.0,0.026
4520.0,0.035
4530.0,0.034
4540.0,0.032
4550.0,0.028
4560.0,0.041
4570.0,0.028
4580.0,0.025
4590.0,0.028
4600.0,0.03
4610.0,0.031
4620.0,0.031
4630.0,0.031
4640.0,0.031
4650.0,0.023
4660.0,0.027
4670.0,0.031
4680.0,0.027
4690.0,0.025
4700.0,0.024
4710.0,0.125
4720.0,0.031
4730.0,0.03
4740.0,0.029
4750.0,0.029
4760.0,0.03
4770.0,0.025
4780.0,0.027
4790.0,0.025
4800.0,0.025
4810.0,0.026
4820.0,0.029
4830.0,0.04
4840.0,0.036
4850.0,0.022
4860.0,0.029
4870.0,0.029
4880.0,0.033
4890.0,0.029
4900.0,0.028
4910.0,0.037
4920.0,0.024
4930.0,0.034
4940.0,0.03
4950.0,0.029
