Point in Time[s],Optimisation Time[s]
3650.0,0.016
3660.0,0.015
3670.0,0.086
3680.0,0.036
3690.0,0.037
3700.0,0.021
3710.0,0.029
3720.0,0.04
3730.0,0.023
3740.0,0.045
3750.0,0.029
3760.0,0.023
3770.0,0.024
3780.0,0.027
3790.0,0.036
3800.0,0.028
3810.0,0.027
3820.0,0.029
3830.0,0.03
3840.0,0.025
3850.0,0.032
3860.0,0.032
3870.0,0.037
3880.0,0.026
3890.0,0.037
3900.0,0.033
3910.0,0.026
3920.0,0.027
3930.0,0.024
3940.0,0.028
3950.0,0.018
3960.0,0.025
3970.0,0.026
3980.0,0.024
3990.0,0.029
4000.0,0.029
4010.0,0.024
4020.0,0.027
4030.0,0.036
4040.0,0.027
4050.0,0.034
4060.0,0.024
4070.0,0.025
4080.0,0.024
4090.0,0.026
4100.0,0.026
4110.0,0.023
4120.0,0.048
4130.0,0.035
4140.0,0.032
4150.0,0.025
4160.0,0.029
4170.0,0.031
4180.0,0.025
4190.0,0.019
4200.0,0.023
4210.0,0.026
4220.0,0.025
4230.0,0.026
4240.0,0.024
4250.0,0.024
4260.0,0.023
4270.0,0.024
4280.0,0.024
4290.0,0.026
4300.0,0.024
4310.0,0.027
4320.0,0.025
4330.0,0.031
4340.0,0.018
4350.0,0.024
4360.0,0.029
4370.0,0.041
4380.0,0.024
4390.0,0.024
4400.0,0.022
4410.0,0.021
4420.0,0.019
4430.0,0.028
4440.0,0.028
4450.0,0.024
4460.0,0.026
4470.0,0.026
4480.0,0.023
4490.0,0.028
4500.0,0.026
4510.0,0.024
4520.0,0.035
4530.0,0.025
4540.0,0.024
4550.0,0.024
4560.0,0.022
4570.0,0.029
4580.0,0.023
4590.0,0.026
4600.0,0.019
4610.0,0.028
4620.0,0.017
4630.0,0.024
4640.0,0.016
4650.0,0.025
4660.0,0.02
4670.0,0.025
4680.0,0.021
4690.0,0.025
4700.0,0.015
4710.0,0.023
4720.0,0.015
4730.0,0.022
4740.0,0.026
4750.0,0.026
4760.0,0.022
4770.0,0.025
4780.0,0.017
4790.0,0.026
4800.0,0.015
4810.0,0.022
4820.0,0.035
4830.0,0.035
4840.0,0.025
4850.0,0.024
4860.0,0.018
4870.0,0.02
4880.0,0.017
4890.0,0.027
4900.0,0.023
4910.0,0.028
4920.0,0.029
4930.0,0.028
4940.0,0.027
4950.0,0.027
4960.0,0.023
4970.0,0.018
4980.0,0.023
4990.0,0.024
5000.0,0.024
5010.0,0.027
5020.0,0.02
5030.0,0.025
5040.0,0.026
5050.0,0.023
5060.0,0.028
5070.0,0.027
5080.0,0.018
5090.0,0.022
5100.0,0.034
5110.0,0.029
5120.0,0.017
5130.0,0.029
5140.0,0.029
5150.0,0.027
5160.0,0.029
5170.0,0.023
5180.0,0.028
5190.0,0.028
5200.0,0.027
5210.0,0.03
5220.0,0.022
5230.0,0.031
5240.0,0.018
5250.0,0.033
5260.0,0.018
5270.0,0.025
5280.0,0.026
5290.0,0.018
5300.0,0.034
5310.0,0.021
5320.0,0.03
5330.0,0.026
5340.0,0.034
5350.0,0.018
5360.0,0.021
5370.0,0.019
5380.0,0.025
5390.0,0.017
5400.0,0.024
5410.0,0.019
5420.0,0.028
5430.0,0.019
5440.0,0.028
5450.0,0.019
5460.0,0.025
5470.0,0.025
5480.0,0.023
5490.0,0.025
5500.0,0.025
5510.0,0.024
5520.0,0.03
5530.0,0.031
5540.0,0.028
5550.0,0.02
5560.0,0.026
5570.0,0.024
5580.0,0.024
5590.0,0.015
5600.0,0.023
5610.0,0.026
5620.0,0.022
5630.0,0.019
5640.0,0.023
5650.0,0.015
5660.0,0.025
5670.0,0.019
5680.0,0.025
5690.0,0.024
5700.0,0.022
5710.0,0.018
5720.0,0.026
5730.0,0.02
5740.0,0.027
5750.0,0.016
5760.0,0.024
5770.0,0.018
5780.0,0.026
5790.0,0.015
5800.0,0.022
5810.0,0.018
5820.0,0.025
5830.0,0.018
5840.0,0.025
5850.0,0.018
5860.0,0.026
5870.0,0.023
5880.0,0.027
5890.0,0.024
5900.0,0.031
5910.0,0.015
5920.0,0.024
5930.0,0.019
5940.0,0.024
5950.0,0.015
5960.0,0.022
5970.0,0.017
5980.0,0.024
5990.0,0.015
6000.0,0.026
6010.0,0.016
6020.0,0.022
6030.0,0.015
6040.0,0.026
6050.0,0.017
6060.0,0.023
6070.0,0.017
6080.0,0.022
6090.0,0.015
6100.0,0.026
6110.0,0.028
6120.0,0.024
6130.0,0.017
6140.0,0.019
6150.0,0.022
6160.0,0.031
6170.0,0.018
6180.0,0.021
6190.0,0.024
6200.0,0.024
6210.0,0.018
6220.0,0.033
6230.0,0.018
6240.0,0.026
6250.0,0.026
6260.0,0.019
6270.0,0.016
6280.0,0.018
6290.0,0.024
6300.0,0.023
6310.0,0.018
6320.0,0.023
6330.0,0.018
6340.0,0.026
6350.0,0.015
6360.0,0.025
6370.0,0.016
6380.0,0.03
6390.0,0.025
6400.0,0.027
6410.0,0.023
6420.0,0.018
6430.0,0.023
6440.0,0.019
6450.0,0.023
6460.0,0.029
6470.0,0.023
6480.0,0.024
6490.0,0.026
6500.0,0.029
6510.0,0.027
6520.0,0.015
6530.0,0.022
6540.0,0.025
6550.0,0.028
6560.0,0.02
6570.0,0.017
6580.0,0.025
6590.0,0.014
6600.0,0.018
6610.0,0.017
6620.0,0.024
6630.0,0.015
6640.0,0.016
6650.0,0.014
6660.0,0.024
6670.0,0.014
6680.0,0.017
6690.0,0.018
6700.0,0.018
6710.0,0.023
6720.0,0.018
6730.0,0.028
6740.0,0.019
6750.0,0.027
6760.0,0.018
6770.0,0.024
6780.0,0.018
6790.0,0.016
6800.0,0.031
6810.0,0.024
6820.0,0.018
6830.0,0.017
6840.0,0.015
6850.0,0.027
6860.0,0.024
6870.0,0.023
6880.0,0.024
6890.0,0.025
6900.0,0.019
6910.0,0.026
6920.0,0.014
6930.0,0.032
6940.0,0.019
6950.0,0.03
6960.0,0.016
6970.0,0.024
6980.0,0.016
6990.0,0.029
7000.0,0.018
7010.0,0.025
7020.0,0.015
