Point in Time[s],Utilization of Active Resource[]
4.625,0.0
14.599,0.0
24.597,0.0
34.597,0.0
44.597,0.0
54.598,0.0
64.607,0.0
74.597,0.0
84.597,0.0
94.597,0.0
104.597,0.0
114.6,0.0
124.632,0.0
134.599,0.0
144.599,0.0
154.598,0.0
164.598,0.0
174.661,0.0
184.601,0.0
194.6,0.0
204.6,0.0
214.599,0.0
224.6,0.0
234.601,0.0
244.633,0.0
254.6,0.0
264.599,0.0
274.6,0.0
284.599,0.0
294.599,0.0
304.6,0.0
314.601,0.0
324.6,0.0
334.617,0.0
344.601,0.0
354.602,0.0
364.648,0.0
374.603,0.0
384.602,0.0
394.647,0.0
404.607,0.0
414.601,0.0
424.601,0.0
434.601,0.0
444.601,0.0
454.602,0.0
464.602,0.0
474.602,0.0
484.65,0.0
494.604,0.0
504.604,0.0
514.602,0.0
524.606,0.0
534.602,0.0
544.605,0.0
554.602,0.0
564.603,0.0
574.602,0.0
584.603,0.0
594.605,0.0
604.65,0.0
614.604,0.0
624.601,0.0
634.603,0.0
644.607,0.0
654.622,0.0
664.606,0.0
674.604,0.0
684.604,0.0
694.605,0.0
704.605,0.0
714.608,0.0
724.651,0.0
734.605,0.0
744.605,0.0
754.606,0.0
764.706,0.0
774.605,0.0
784.605,0.0
794.605,0.0
804.605,0.0
814.605,0.0
824.606,0.0
834.607,0.0
844.653,0.0
854.608,0.0
864.605,0.0
874.607,0.0
884.657,0.0
894.606,0.0
904.606,0.0
914.606,0.0
924.606,0.0
934.605,0.0
944.606,0.0
954.608,0.0
964.656,0.0
974.675,0.0
984.606,0.0
994.607,0.0
1004.61,0.0
1014.607,0.0
1024.608,0.0
1034.605,0.0
1044.605,0.0
1054.606,0.0
1064.606,0.0
1074.607,0.0
1084.685,0.0
1094.607,0.0
1104.61,0.0
1114.607,0.0
1124.611,0.0
1134.608,0.0
1144.608,0.0
1154.607,0.0
1164.607,0.0
1174.608,0.0
1184.61,0.0
1194.611,0.0
1204.643,0.0
1214.608,0.0
1224.608,0.0
1234.609,0.0
1244.611,0.0
1254.608,0.0
1264.611,0.0
1274.61,0.0
1284.605,0.0
1294.608,0.0
1304.625,0.0
1314.609,0.0
1324.645,0.0
1334.61,0.0
1344.608,0.0
1354.609,0.0
1364.615,0.0
1374.609,0.0
1384.611,0.0
1394.609,0.0
1404.608,0.0
1414.61,0.0
1424.612,0.0
1434.611,0.0
1444.645,0.0
1454.611,0.0
1464.608,0.0
1474.609,0.0
1484.611,0.0
1494.609,0.0
1504.612,0.0
1514.611,0.0
1524.609,0.0
1534.61,0.0
1544.611,0.0
1554.612,0.0
1564.645,0.0
1574.613,0.0
1584.61,0.0
1594.611,0.0
1604.611,0.0
1614.611,0.0
1624.639,0.0
1634.612,0.0
1644.61,0.0
1654.61,0.0
1664.612,0.0
1674.612,0.0
1684.644,0.0
1694.617,0.0
1704.613,0.0
1714.613,0.0
1724.612,0.0
1734.611,0.0
1744.613,0.0
1754.67,0.0
1764.614,0.0
1774.612,0.0
1784.614,0.0
1794.614,0.0
1804.648,0.0
1814.612,0.0
1824.611,0.0
1834.613,0.0
1844.612,0.0
1854.613,0.0
1864.613,0.0
1874.611,0.0
1884.681,0.0
1894.611,0.0
1904.612,0.0
1914.618,0.0
1924.653,0.0
1934.613,0.0
1944.612,0.0
1954.619,0.0
1964.611,0.0
1974.613,0.0
1984.615,0.0
1994.612,0.0
2004.611,0.0
2014.612,0.0
2024.613,0.0
2034.618,0.0
2044.649,0.0
2054.613,0.0
2064.613,0.0
2074.613,0.0
2084.614,0.0
2094.617,0.0
2104.618,0.0
2114.617,0.0
2124.613,0.0
2134.613,0.0
2144.615,0.0
2154.616,0.0
2164.766,0.0
2174.616,0.0
2184.615,0.0
2194.616,0.0
2204.615,0.0
2214.615,0.0
2224.618,0.0
2234.695,0.0
2244.616,0.0
2254.616,0.0
2264.617,0.0
2274.619,0.0
2284.65,0.0
2294.618,0.0
2304.618,0.0
2314.617,0.0
2324.616,0.0
2334.617,0.0
2344.62,0.0
2354.619,0.0
2364.619,0.0
2374.618,0.0
2384.618,0.0
2394.619,0.0
2404.649,0.0
2414.621,0.0
2424.621,0.0
2434.621,0.0
2444.621,0.0
2454.638,0.0
2464.622,0.0
2474.62,0.0
2484.62,0.0
2494.637,0.0
2504.619,0.0
2514.62,0.0
2524.65,0.0
2534.622,0.0
2544.62,0.0
2554.622,0.0
2564.62,0.0
2574.62,0.0
2584.623,0.0
2594.62,0.0
2604.636,0.0
2614.62,0.0
2624.621,0.0
2634.622,0.0
2644.65,0.0
2654.623,0.0
2664.622,0.0
2674.624,0.0
2684.622,0.0
2694.622,0.0
2704.625,0.0
2714.624,0.0
2724.622,0.0
2734.622,0.0
2744.624,0.0
2754.626,0.0
2764.656,0.0
2774.625,0.0
2784.625,0.0
2794.625,0.0
2804.624,0.0
2814.623,0.0
2824.632,0.0
2834.624,0.0
2844.641,0.0
2854.624,0.0
2864.623,0.0
2874.625,0.0
2884.657,0.0
2894.625,0.0
2904.626,0.0
2914.627,0.0
2924.625,0.0
2934.625,0.0
2944.628,0.0
2954.628,0.0
2964.626,0.0
2974.625,0.0
2984.627,0.0
2994.628,0.0
3004.657,0.0
3014.631,0.0
3024.628,0.0
3034.63,0.0
3044.627,0.0
3054.629,0.0
3064.632,0.0
3074.686,0.0
3084.629,0.0
3094.629,0.0
3104.629,0.0
3114.646,0.0
3124.748,0.0
3134.63,0.0
3144.631,0.0
3154.631,0.0
3164.63,0.0
3174.63,0.0
3184.634,0.0
3194.631,0.0
3204.63,0.0
3214.63,0.0
3224.63,0.0
3234.632,0.0
3244.658,0.0
3254.633,0.0
3264.631,0.0
3274.633,0.0
3284.631,0.0
3294.632,0.0
3304.635,0.0
3314.631,0.0
3324.631,0.0
3334.632,0.0
3344.633,0.0
3354.633,0.0
3364.66,0.0
3374.632,0.0
3384.634,0.0
3394.649,0.0
