Point in Time[s],Power Consumption[W]
0.152,104.0
10.169,84.0
20.185,83.0
30.2,81.0
40.215,83.0
50.233,89.0
60.25,87.0
70.266,124.0
80.283,91.0
90.301,101.0
100.317,97.0
110.332,83.0
120.349,84.0
130.365,83.0
140.383,81.0
150.399,83.0
160.416,96.0
170.434,87.0
180.449,86.0
190.466,81.0
200.482,101.0
210.055,81.0
220.071,84.0
230.087,94.0
240.201,88.0
250.217,81.0
260.233,81.0
270.25,94.0
280.268,84.0
290.284,83.0
300.301,86.0
310.318,104.0
320.336,85.0
330.353,117.0
340.37,89.0
350.389,97.0
360.406,84.0
370.424,94.0
380.437,81.0
390.451,120.0
400.466,91.0
410.483,85.0
420.508,83.0
430.053,118.0
440.069,118.0
450.085,82.0
460.101,87.0
470.116,92.0
480.19,118.0
490.205,81.0
500.222,86.0
510.24,88.0
520.255,87.0
530.271,86.0
540.287,96.0
550.304,109.0
560.32,99.0
570.338,101.0
580.354,105.0
590.37,122.0
600.389,100.0
610.405,102.0
620.423,85.0
630.441,83.0
640.468,91.0
650.485,83.0
660.509,86.0
670.056,101.0
680.072,93.0
690.087,82.0
700.105,86.0
710.121,81.0
720.385,100.0
730.4,86.0
740.414,87.0
750.434,82.0
760.457,82.0
770.479,79.0
780.503,89.0
790.056,85.0
800.073,107.0
810.088,108.0
820.105,81.0
830.122,84.0
840.388,89.0
850.403,81.0
860.423,83.0
870.439,88.0
880.453,86.0
890.473,81.0
900.489,83.0
910.058,81.0
920.073,83.0
930.089,81.0
940.107,86.0
950.124,84.0
960.158,103.0
970.174,99.0
980.19,84.0
990.205,84.0
1000.222,83.0
1010.237,87.0
1020.251,97.0
1030.269,91.0
1040.285,92.0
1050.301,106.0
1060.318,104.0
1070.335,92.0
1080.352,81.0
1090.368,84.0
1100.388,83.0
1110.407,84.0
1120.424,91.0
1130.441,83.0
1140.468,92.0
1150.484,81.0
1160.069,85.0
1170.083,83.0
1180.102,87.0
1190.118,92.0
1200.414,81.0
1210.43,101.0
1220.445,83.0
1230.462,86.0
1240.48,83.0
1250.067,119.0
1260.084,92.0
1270.099,86.0
1280.119,85.0
1290.137,86.0
1300.153,96.0
1310.17,82.0
1320.187,82.0
1330.207,81.0
1340.223,97.0
1350.239,83.0
1360.255,85.0
1370.274,81.0
1380.29,89.0
1390.304,84.0
1400.321,81.0
1410.339,89.0
1420.355,87.0
1430.371,81.0
1440.389,99.0
1450.406,82.0
1460.421,102.0
1470.436,82.0
1480.453,84.0
1490.469,81.0
1500.494,115.0
1510.067,88.0
1520.083,95.0
1530.1,108.0
1540.12,102.0
1550.149,97.0
1560.397,100.0
1570.414,81.0
1580.43,91.0
1590.445,98.0
1600.462,81.0
1610.481,85.0
1620.497,96.0
1630.071,93.0
1640.09,86.0
1650.106,84.0
1660.121,83.0
1670.137,86.0
1680.173,86.0
1690.191,85.0
1700.21,84.0
1710.226,109.0
1720.253,100.0
1730.269,104.0
1740.286,90.0
1750.308,91.0
1760.323,81.0
1770.341,87.0
1780.356,85.0
1790.372,88.0
1800.39,127.0
1810.408,109.0
1820.428,107.0
1830.447,81.0
1840.477,83.0
1850.493,83.0
1860.517,82.0
1870.075,120.0
1880.092,84.0
1890.106,82.0
1900.131,95.0
1910.149,81.0
1920.179,138.0
1930.195,81.0
1940.211,85.0
1950.229,86.0
1960.246,86.0
1970.261,82.0
1980.275,84.0
1990.29,93.0
2000.306,79.0
2010.32,82.0
2020.338,83.0
2030.353,81.0
2040.369,126.0
2050.387,81.0
2060.401,90.0
2070.416,90.0
