Point in Time[s],Optimisation Time[s]
3650.0,0.028
3660.0,0.038
3670.0,0.072
3680.0,0.08
3690.0,0.053
3700.0,0.057
3710.0,0.041
3720.0,0.048
3730.0,0.029
3740.0,0.033
3750.0,0.023
3760.0,0.027
3770.0,0.024
3780.0,0.024
3790.0,0.021
3800.0,0.03
3810.0,0.024
3820.0,0.029
3830.0,0.025
3840.0,0.025
3850.0,0.024
3860.0,0.028
3870.0,0.026
3880.0,0.028
3890.0,0.02
3900.0,0.024
3910.0,0.024
3920.0,0.027
3930.0,0.015
3940.0,0.031
3950.0,0.019
3960.0,0.027
3970.0,0.02
3980.0,0.022
3990.0,0.023
4000.0,0.024
4010.0,0.022
4020.0,0.023
4030.0,0.024
4040.0,0.029
4050.0,0.024
4060.0,0.016
4070.0,0.018
4080.0,0.024
4090.0,0.023
4100.0,0.021
4110.0,0.021
4120.0,0.025
4130.0,0.022
4140.0,0.027
4150.0,0.018
4160.0,0.028
4170.0,0.022
4180.0,0.029
4190.0,0.021
4200.0,0.016
4210.0,0.021
4220.0,0.029
4230.0,0.022
4240.0,0.135
4250.0,0.023
4260.0,0.027
4270.0,0.023
4280.0,0.018
4290.0,0.04
4300.0,0.025
4310.0,0.03
4320.0,0.017
4330.0,0.016
4340.0,0.023
4350.0,0.026
4360.0,0.015
4370.0,0.03
4380.0,0.023
4390.0,0.025
4400.0,0.025
4410.0,0.021
4420.0,0.021
4430.0,0.028
4440.0,0.023
4450.0,0.019
4460.0,0.026
4470.0,0.022
4480.0,0.038
4490.0,0.023
4500.0,0.025
4510.0,0.022
4520.0,0.029
4530.0,0.022
4540.0,0.024
4550.0,0.023
4560.0,0.029
4570.0,0.026
4580.0,0.022
4590.0,0.022
4600.0,0.018
4610.0,0.017
4620.0,0.021
4630.0,0.016
4640.0,0.031
4650.0,0.018
4660.0,0.029
4670.0,0.018
4680.0,0.029
4690.0,0.017
4700.0,0.024
4710.0,0.015
4720.0,0.022
4730.0,0.023
4740.0,0.028
4750.0,0.019
4760.0,0.018
4770.0,0.019
4780.0,0.025
4790.0,0.023
4800.0,0.031
4810.0,0.019
4820.0,0.024
4830.0,0.029
4840.0,0.019
4850.0,0.027
4860.0,0.023
4870.0,0.028
4880.0,0.02
4890.0,0.028
4900.0,0.02
4910.0,0.024
4920.0,0.027
4930.0,0.025
4940.0,0.037
4950.0,0.024
4960.0,0.028
4970.0,0.014
4980.0,0.03
4990.0,0.026
5000.0,0.027
5010.0,0.02
5020.0,0.023
5030.0,0.023
5040.0,0.025
5050.0,0.034
5060.0,0.019
5070.0,0.024
5080.0,0.018
5090.0,0.024
5100.0,0.018
5110.0,0.028
5120.0,0.023
5130.0,0.027
5140.0,0.018
5150.0,0.028
5160.0,0.024
5170.0,0.029
5180.0,0.024
5190.0,0.027
5200.0,0.027
5210.0,0.027
5220.0,0.023
5230.0,0.028
5240.0,0.028
5250.0,0.022
5260.0,0.025
5270.0,0.016
5280.0,0.024
5290.0,0.019
5300.0,0.024
5310.0,0.019
5320.0,0.1
5330.0,0.024
5340.0,0.025
5350.0,0.019
5360.0,0.023
5370.0,0.019
5380.0,0.028
5390.0,0.016
5400.0,0.023
5410.0,0.019
5420.0,0.027
5430.0,0.017
5440.0,0.026
5450.0,0.021
5460.0,0.024
5470.0,0.019
5480.0,0.028
5490.0,0.019
5500.0,0.027
5510.0,0.022
5520.0,0.026
5530.0,0.017
5540.0,0.026
5550.0,0.023
5560.0,0.027
5570.0,0.024
5580.0,0.019
5590.0,0.031
5600.0,0.023
5610.0,0.029
5620.0,0.021
5630.0,0.027
5640.0,0.028
5650.0,0.033
5660.0,0.022
5670.0,0.026
5680.0,0.017
5690.0,0.022
5700.0,0.015
5710.0,0.031
5720.0,0.027
5730.0,0.018
5740.0,0.024
5750.0,0.016
5760.0,0.022
5770.0,0.025
5780.0,0.028
5790.0,0.017
5800.0,0.028
5810.0,0.022
5820.0,0.024
5830.0,0.015
5840.0,0.026
5850.0,0.021
5860.0,0.024
5870.0,0.02
5880.0,0.019
5890.0,0.018
5900.0,0.015
5910.0,0.021
5920.0,0.017
5930.0,0.022
5940.0,0.023
5950.0,0.019
5960.0,0.019
5970.0,0.028
5980.0,0.024
5990.0,0.031
6000.0,0.024
6010.0,0.022
6020.0,0.02
6030.0,0.026
6040.0,0.019
6050.0,0.026
6060.0,0.015
6070.0,0.027
6080.0,0.026
6090.0,0.027
6100.0,0.014
6110.0,0.026
6120.0,0.015
6130.0,0.089
6140.0,0.016
6150.0,0.026
6160.0,0.016
6170.0,0.03
6180.0,0.016
6190.0,0.029
6200.0,0.024
6210.0,0.028
6220.0,0.02
6230.0,0.023
6240.0,0.024
6250.0,0.027
6260.0,0.024
6270.0,0.021
6280.0,0.018
6290.0,0.027
6300.0,0.024
6310.0,0.02
6320.0,0.02
6330.0,0.025
6340.0,0.024
6350.0,0.021
6360.0,0.023
6370.0,0.027
6380.0,0.017
6390.0,0.03
6400.0,0.019
6410.0,0.025
6420.0,0.021
6430.0,0.023
6440.0,0.019
6450.0,0.026
6460.0,0.019
6470.0,0.027
6480.0,0.023
6490.0,0.033
6500.0,0.021
6510.0,0.03
6520.0,0.021
6530.0,0.083
6540.0,0.015
6550.0,0.024
6560.0,0.02
6570.0,0.021
6580.0,0.02
6590.0,0.027
6600.0,0.02
6610.0,0.016
6620.0,0.022
6630.0,0.023
6640.0,0.017
6650.0,0.027
6660.0,0.019
6670.0,0.028
6680.0,0.022
6690.0,0.03
6700.0,0.017
6710.0,0.021
6720.0,0.023
6730.0,0.025
6740.0,0.021
6750.0,0.023
6760.0,0.017
6770.0,0.029
6780.0,0.024
6790.0,0.024
6800.0,0.018
6810.0,0.028
6820.0,0.019
6830.0,0.025
6840.0,0.022
6850.0,0.025
6860.0,0.02
6870.0,0.025
6880.0,0.02
6890.0,0.027
6900.0,0.022
6910.0,0.024
6920.0,0.016
6930.0,0.027
6940.0,0.021
6950.0,0.025
6960.0,0.017
6970.0,0.026
6980.0,0.032
6990.0,0.024
7000.0,0.026
7010.0,0.046
7020.0,0.025
7030.0,0.025
7040.0,0.019
7050.0,0.015
7060.0,0.021
7070.0,0.022
7080.0,0.018
7090.0,0.029
7100.0,0.022
7110.0,0.023
7120.0,0.025
7130.0,0.021
7140.0,0.027
7150.0,0.021
7160.0,0.028
7170.0,0.025
7180.0,0.024
7190.0,0.032
7200.0,0.027
7210.0,0.023
7220.0,0.025
7230.0,0.02
7240.0,0.023
7250.0,0.021
7260.0,0.024
7270.0,0.02
7280.0,0.023
7290.0,0.022
7300.0,0.027
7310.0,0.018
7320.0,0.026
7330.0,0.018
7340.0,0.024
7350.0,0.02
7360.0,0.027
7370.0,0.024
7380.0,0.024
7390.0,0.021
7400.0,0.028
7410.0,0.021
7420.0,0.022
7430.0,0.026
7440.0,0.023
7450.0,0.023
7460.0,0.025
7470.0,0.021
7480.0,0.02
7490.0,0.021
7500.0,0.029
